Timestamp,Open,High,Low,Close,Volume
2026-02-04 14:30:00+00:00,23224.408203125,23268.212890625,23122.9765625,23237.81640625,391308000
2026-02-04 14:45:00+00:00,23236.705078125,23253.083984375,23077.02734375,23082.08984375,498379000
2026-02-04 15:00:00+00:00,23060.369140625,23141.146484375,23009.89453125,23109.39453125,459072000
2026-02-04 15:15:00+00:00,23108.16015625,23181.45703125,23074.623046875,23134.50390625,365811000
2026-02-04 15:30:00+00:00,23131.48828125,23145.267578125,23011.087890625,23106.662109375,368995000
2026-02-04 15:45:00+00:00,23101.2734375,23109.865234375,23029.427734375,23039.001953125,269167000
2026-02-04 16:00:00+00:00,23043.60546875,23052.951171875,22950.73046875,23011.314453125,295048000
2026-02-04 16:15:00+00:00,23008.9921875,23023.15234375,22943.509765625,23019.80859375,276898000
2026-02-04 16:30:00+00:00,23015.3515625,23016.15234375,22872.1796875,22872.86328125,251362000
2026-02-04 16:45:00+00:00,22871.11328125,22924.529296875,22823.689453125,22924.529296875,267127000
2026-02-04 17:00:00+00:00,22920.69140625,22946.248046875,22890.0234375,22925.572265625,198639000
2026-02-04 17:15:00+00:00,22928.22265625,22934.26171875,22782.107421875,22789.015625,243275000
2026-02-04 17:30:00+00:00,22781.548828125,22833.056640625,22700.470703125,22744.259765625,258853000
2026-02-04 17:45:00+00:00,22740.916015625,22781.513671875,22685.005859375,22775.046875,225960000
2026-02-04 18:00:00+00:00,22774.98828125,22793.205078125,22730.44921875,22757.552734375,205759000
2026-02-04 18:15:00+00:00,22756.353515625,22851.32421875,22736.63671875,22848.365234375,188302000
2026-02-04 18:30:00+00:00,22847.7890625,22847.7890625,22773.01953125,22805.89453125,189534000
2026-02-04 18:45:00+00:00,22803.916015625,22858.947265625,22754.236328125,22829.0078125,178147000
2026-02-04 19:00:00+00:00,22830.6484375,22841.46484375,22784.052734375,22816.1796875,175768000
2026-02-04 19:15:00+00:00,22815.955078125,22862.69921875,22803.978515625,22860.130859375,168821000
2026-02-04 19:30:00+00:00,22863.560546875,22935.052734375,22863.560546875,22918.16796875,197341000
2026-02-04 19:45:00+00:00,22919.09375,23006.517578125,22911.302734375,23003.533203125,239703000
2026-02-04 20:00:00+00:00,23003.421875,23008.80859375,22919.947265625,22938.7890625,232954000
2026-02-04 20:15:00+00:00,22939.861328125,22985.2109375,22934.376953125,22964.23828125,210128000
2026-02-04 20:30:00+00:00,22964.953125,22998.546875,22949.0546875,22975.8125,247727000
2026-02-04 20:45:00+00:00,22974.34375,22998.357421875,22893.125,22903.12890625,431211000
2026-02-05 14:30:00+00:00,22604.095703125,22815.146484375,22533.49609375,22796.107421875,350940033
2026-02-05 14:45:00+00:00,22791.556640625,22838.025390625,22659.91015625,22665.517578125,418735725
2026-02-05 15:00:00+00:00,22679.193359375,22679.193359375,22471.798828125,22471.798828125,485205000
2026-02-05 15:15:00+00:00,22470.0703125,22560.501953125,22461.138671875,22490.216796875,410578000
2026-02-05 15:30:00+00:00,22503.171875,22596.30859375,22469.517578125,22578.080078125,370422000
2026-02-05 15:45:00+00:00,22577.521484375,22587.525390625,22485.162109375,22528.8125,289900000
2026-02-05 16:00:00+00:00,22537.646484375,22549.462890625,22475.9140625,22475.9140625,258732000
2026-02-05 16:15:00+00:00,22482.390625,22679.421875,22482.390625,22676.2265625,268173000
2026-02-05 16:30:00+00:00,22693.2578125,22723.388671875,22676.07421875,22692.669921875,233910000
2026-02-05 16:45:00+00:00,22694.623046875,22754.248046875,22649.37890625,22728.591796875,208136000
2026-02-05 17:00:00+00:00,22728.66796875,22728.892578125,22652.359375,22679.990234375,175543000
2026-02-05 17:15:00+00:00,22678.4765625,22752.9609375,22636.3984375,22736.419921875,167756000
2026-02-05 17:30:00+00:00,22736.78125,22765.31640625,22703.154296875,22744.216796875,173145000
2026-02-05 17:45:00+00:00,22746.134765625,22781.3203125,22679.17578125,22687.947265625,176805000
2026-02-05 18:00:00+00:00,22689.474609375,22725.1484375,22654.650390625,22671.59375,168550000
2026-02-05 18:15:00+00:00,22671.421875,22676.275390625,22613.814453125,22630.955078125,166776000
2026-02-05 18:30:00+00:00,22634.375,22662.564453125,22600.85546875,22617.658203125,162363000
2026-02-05 18:45:00+00:00,22614.548828125,22620.34375,22564.751953125,22597.8046875,179356000
2026-02-05 19:00:00+00:00,22589.64453125,22703.044921875,22585.845703125,22695.125,161898000
2026-02-05 19:15:00+00:00,22694.259765625,22725.54296875,22656.5390625,22659.025390625,160775000
2026-02-05 19:30:00+00:00,22658.193359375,22658.193359375,22587.056640625,22598.662109375,187441000
2026-02-05 19:45:00+00:00,22597.40625,22608.19140625,22571.669921875,22600.3671875,177609000
2026-02-05 20:00:00+00:00,22599.337890625,22686.55078125,22588.9375,22632.341796875,202169000
2026-02-05 20:15:00+00:00,22633.134765625,22633.134765625,22528.154296875,22533.375,259008000
2026-02-05 20:30:00+00:00,22532.396484375,22560.765625,22501.517578125,22508.810546875,300276000
2026-02-05 20:45:00+00:00,22502.650390625,22554.400390625,22471.478515625,22544.24609375,470843000
2026-02-06 14:30:00+00:00,22627.525390625,22792.974609375,22591.7109375,22792.974609375,352628163
2026-02-06 14:45:00+00:00,22806.869140625,22852.294921875,22732.712890625,22732.734375,444167448
2026-02-06 15:00:00+00:00,22727.224609375,22738.40234375,22652.955078125,22666.203125,355992000
