Timestamp,Open,High,Low,Close,Volume
2026-02-04 14:30:00+00:00,49323.58984375,49620.87109375,49323.58984375,49561.26171875,24073698
2026-02-04 14:45:00+00:00,49560.94140625,49615.33984375,49309.0703125,49342.171875,33939701
2026-02-04 15:00:00+00:00,49345.12890625,49539.01171875,49254.80078125,49501.25,36724564
2026-02-04 15:15:00+00:00,49498.98046875,49642.41015625,49481.390625,49615.1484375,29515510
2026-02-04 15:30:00+00:00,49615.55078125,49649.859375,49448.5703125,49630.078125,28280136
2026-02-04 15:45:00+00:00,49628.25,49640.01953125,49560.30859375,49584.4609375,20759133
2026-02-04 16:00:00+00:00,49591.640625,49619.44921875,49505.1796875,49583.01171875,23050780
2026-02-04 16:15:00+00:00,49579.921875,49642.51171875,49464.828125,49636.109375,19825391
2026-02-04 16:30:00+00:00,49634.3515625,49634.3515625,49484.94921875,49487.87109375,18207612
2026-02-04 16:45:00+00:00,49487.62890625,49548.55078125,49418.37890625,49536.41015625,22159979
2026-02-04 17:00:00+00:00,49534.2109375,49569.76171875,49483.01953125,49542.921875,17723412
2026-02-04 17:15:00+00:00,49544.30078125,49548.078125,49345.96875,49371.25,17642282
2026-02-04 17:30:00+00:00,49374.0,49421.25,49263.51953125,49302.37890625,22124048
2026-02-04 17:45:00+00:00,49303.3203125,49321.48828125,49207.9609375,49289.58984375,19981639
2026-02-04 18:00:00+00:00,49288.48828125,49290.140625,49156.76953125,49166.1796875,16735219
2026-02-04 18:15:00+00:00,49165.91015625,49293.44140625,49112.4296875,49265.66015625,15777526
2026-02-04 18:30:00+00:00,49264.1796875,49281.859375,49166.87109375,49230.66015625,14528104
2026-02-04 18:45:00+00:00,49229.23828125,49356.3984375,49190.9296875,49291.69140625,18096937
2026-02-04 19:00:00+00:00,49290.69921875,49324.46875,49229.390625,49297.48046875,16660933
2026-02-04 19:15:00+00:00,49299.37890625,49362.62109375,49285.19921875,49346.578125,16319537
2026-02-04 19:30:00+00:00,49349.33984375,49448.578125,49347.23828125,49435.359375,18280709
2026-02-04 19:45:00+00:00,49437.19140625,49579.19140625,49423.828125,49570.03125,21369651
2026-02-04 20:00:00+00:00,49572.48828125,49598.6484375,49536.19140625,49592.0,19819670
2026-02-04 20:15:00+00:00,49592.328125,49595.5,49547.87890625,49551.2890625,20017332
2026-02-04 20:30:00+00:00,49552.73046875,49606.359375,49547.76171875,49563.21875,21820320
2026-02-04 20:45:00+00:00,49563.328125,49605.96875,49455.62109375,49493.421875,56727625
2026-02-05 14:30:00+00:00,49313.0390625,49318.109375,49137.0703125,49284.91015625,27876962
2026-02-05 14:45:00+00:00,49277.91015625,49340.8984375,49168.9609375,49207.87890625,34030329
