timestamp,open_price,high_price,low_price,close_price,volume,amount,count,buy_volume,buy_amount
2026-01-15 14:30:00+00:00,492.3699951171875,493.8999938964844,492.2099914550781,492.6400146484375,1527135,752327808.7701416,,,
2026-01-15 14:45:00+00:00,492.625,493.42999267578125,492.2799987792969,493.30999755859375,616759,304253380.7842407,,,
2026-01-15 15:00:00+00:00,493.2900085449219,494.17999267578125,493.260009765625,493.989990234375,740053,365578774.2429199,,,
2026-01-15 15:15:00+00:00,493.989990234375,494.885009765625,493.70001220703125,494.6099853515625,424258,209842243.1652832,,,
2026-01-15 15:30:00+00:00,494.6199951171875,494.75,494.17999267578125,494.2699890136719,574809,284110838.1149597,,,
2026-01-15 15:45:00+00:00,494.239990234375,494.8599853515625,493.7200012207031,494.7699890136719,541263,267800688.56350708,,,
2026-01-15 16:00:00+00:00,494.75,495.4800109863281,494.69000244140625,495.32000732421875,240713,119229964.92303467,,,
2026-01-15 16:15:00+00:00,495.32000732421875,495.6050109863281,495.010009765625,495.4700927734375,262295,129959327.98400879,,,
2026-01-15 16:30:00+00:00,495.45001220703125,495.66900634765625,495.3599853515625,495.5400085449219,136505,67643688.86642456,,,
2026-01-15 16:45:00+00:00,495.5199890136719,495.5899963378906,495.25,495.260009765625,215459,106708226.4440918,,,
2026-01-15 17:00:00+00:00,495.239990234375,495.6700134277344,495.1600036621094,495.489990234375,262614,130122608.29541016,,,
2026-01-15 17:15:00+00:00,495.4700012207031,495.4800109863281,494.98089599609375,495.0,134541,66597795.0,,,
2026-01-15 17:30:00+00:00,495.0299987792969,495.4200134277344,494.8800048828125,495.3699951171875,144933,71795459.50231934,,,
2026-01-15 17:45:00+00:00,495.3800048828125,495.6600036621094,494.8299865722656,494.8399963378906,119361,59064596.80288696,,,
2026-01-15 18:00:00+00:00,494.80999755859375,495.5133056640625,494.7900085449219,495.2882995605469,146441,72530513.87594604,,,
2026-01-15 18:15:00+00:00,495.2799987792969,495.4700012207031,495.20001220703125,495.4700012207031,90155,44669097.96005249,,,
2026-01-15 18:30:00+00:00,495.4599914550781,495.8299865722656,495.4599914550781,495.6000061035156,180495,89453323.10165405,,,
2026-01-15 18:45:00+00:00,495.6199951171875,495.6600036621094,495.3800048828125,495.5199890136719,118604,58770652.77697754,,,
2026-01-15 19:00:00+00:00,495.5,495.760009765625,495.1600036621094,495.6400146484375,102607,50856134.98303223,,,
2026-01-15 19:15:00+00:00,495.6300048828125,495.82000732421875,495.17999267578125,495.2699890136719,108489,53731345.83810425,,,
2026-01-15 19:30:00+00:00,495.260009765625,495.260009765625,494.6300048828125,495.0,177728,87975360.0,,,
2026-01-15 19:45:00+00:00,494.95001220703125,495.3500061035156,494.7099914550781,494.7799987792969,149094,73768729.13800049,,,
2026-01-15 20:00:00+00:00,494.7799987792969,494.95001220703125,494.5799865722656,494.6300048828125,150706,74543709.51586914,,,
2026-01-15 20:15:00+00:00,494.6199951171875,494.65899658203125,493.9549865722656,494.1099853515625,359460,177612775.33447266,,,
2026-01-15 20:30:00+00:00,494.1000061035156,494.6300048828125,493.93499755859375,494.0400085449219,214173,105810030.75009155,,,
2026-01-15 20:45:00+00:00,494.0249938964844,494.5299987792969,493.8800048828125,494.489990234375,584443,289001213.3625488,,,
2026-01-16 14:30:00+00:00,494.5,496.0,493.80999755859375,493.8800048828125,945841,467131957.69836426,,,
2026-01-16 14:45:00+00:00,493.8999938964844,494.6300048828125,493.1600036621094,493.19000244140625,474921,234226289.1494751,,,
2026-01-16 15:00:00+00:00,493.17999267578125,494.05999755859375,492.8800048828125,493.6700134277344,262978,129824352.79119873,,,
2026-01-16 15:15:00+00:00,493.6199951171875,494.0400085449219,493.45001220703125,493.5899963378906,209487,103400687.5628357,,,
2026-01-16 15:30:00+00:00,493.6000061035156,493.7300109863281,492.2699890136719,492.7799987792969,482858,237942764.65057373,,,
2026-01-16 15:45:00+00:00,492.80999755859375,493.6000061035156,492.6700134277344,493.44000244140625,234246,115586346.81188965,,,
2026-01-16 16:00:00+00:00,493.42999267578125,494.3399963378906,493.3800048828125,493.94000244140625,162007,80021737.9755249,,,
2026-01-16 16:15:00+00:00,493.9599914550781,494.239990234375,493.7900085449219,494.1499938964844,126716,62616710.626586914,,,
2026-01-16 16:30:00+00:00,494.1499938964844,494.4800109863281,494.0799865722656,494.44000244140625,89676,44339401.65893555,,,
2026-01-16 16:45:00+00:00,494.4599914550781,494.6600036621094,493.6199951171875,493.8800048828125,318746,157422276.03637695,,,
2026-01-16 17:00:00+00:00,493.8699951171875,494.239990234375,493.8399963378906,493.989990234375,112791,55717624.98852539,,,
2026-01-16 17:15:00+00:00,493.9700012207031,494.1300048828125,493.75,493.8599853515625,73400,36249322.92480469,,,
2026-01-16 17:30:00+00:00,493.8500061035156,494.2200012207031,493.739990234375,494.19000244140625,129661,64077169.906555176,,,
2026-01-16 17:45:00+00:00,494.1600036621094,494.2099914550781,493.739990234375,493.9700012207031,92562,45722851.25299072,,,
2026-01-16 18:00:00+00:00,493.95001220703125,494.4599914550781,493.8800048828125,494.3949890136719,100056,49467185.02075195,,,
2026-01-16 18:15:00+00:00,494.3900146484375,494.80999755859375,494.3900146484375,494.6099853515625,85866,42470181.002197266,,,
