timestamp,open_price,high_price,low_price,close_price,volume,amount,count,buy_volume,buy_amount
2026-01-15 14:30:00+00:00,626.6300048828125,627.1300048828125,624.9000244140625,626.6500244140625,4437293,2780629766.7823486,,,
2026-01-15 14:45:00+00:00,626.6890258789062,627.260009765625,624.6599731445312,625.1599731445312,2184575,1365708848.3322144,,,
2026-01-15 15:00:00+00:00,625.155029296875,625.8499755859375,624.6099853515625,625.5499877929688,1476707,923754045.8237915,,,
2026-01-15 15:15:00+00:00,625.5399780273438,626.4000244140625,624.6900024414062,625.1400146484375,1028176,642753959.7011719,,,
2026-01-15 15:30:00+00:00,625.1500244140625,626.6491088867188,624.85498046875,624.9099731445312,1760425,1100107139.4729614,,,
2026-01-15 15:45:00+00:00,624.8900146484375,630.0,623.760009765625,625.7000122070312,1798965,1125612422.460022,,,
2026-01-15 16:00:00+00:00,625.6900024414062,626.4299926757812,625.5499877929688,625.9174194335938,1075431,673130996.2988892,,,
2026-01-15 16:15:00+00:00,625.9299926757812,626.77001953125,625.75,626.1900024414062,734244,459776252.1525879,,,
2026-01-15 16:30:00+00:00,626.1400146484375,626.489990234375,625.6099853515625,626.4199829101562,716819,449029745.7296753,,,
2026-01-15 16:45:00+00:00,626.4199829101562,626.9398803710938,626.1199951171875,626.6400146484375,601472,376906422.890625,,,
2026-01-15 17:00:00+00:00,626.6099853515625,626.9600219726562,626.1950073242188,626.25,468205,293213381.25,,,
2026-01-15 17:15:00+00:00,626.260009765625,626.3200073242188,625.510009765625,625.590087890625,664022,415405581.3413086,,,
2026-01-15 17:30:00+00:00,625.603271484375,625.7800903320312,625.0999755859375,625.6300048828125,1145813,716854992.78479,,,
2026-01-15 17:45:00+00:00,625.6300048828125,625.9400024414062,624.8699951171875,624.969970703125,481998,301234275.93896484,,,
2026-01-15 18:00:00+00:00,624.9199829101562,626.010009765625,624.8499755859375,625.7100219726562,627367,392549819.35491943,,,
2026-01-15 18:15:00+00:00,625.7000122070312,626.030029296875,625.4000244140625,626.0001220703125,368658,230779953.00219727,,,
2026-01-15 18:30:00+00:00,625.97998046875,626.3200073242188,625.780029296875,625.969970703125,403473,252561981.98950195,,,
2026-01-15 18:45:00+00:00,625.97998046875,626.0599975585938,625.5700073242188,625.7371215820312,550410,344411969.0899658,,,
2026-01-15 19:00:00+00:00,625.7100219726562,625.7100219726562,624.2098999023438,624.6199951171875,745695,465776007.25891113,,,
2026-01-15 19:15:00+00:00,624.5999755859375,624.8099975585938,623.47998046875,623.6799926757812,821348,512258314.6242676,,,
